date,open,high,low,close,volume,quote_volume,trades,taker_buy_base,taker_buy_quote,cs_spread,roll_spread,amihud,parkinson_vol,realized_vol,range_vol,volume_dispersion,momentum_unc,flow_imbalance,intensity_unc,aleatoric_proxy,epistemic_proxy,total_uncertainty,ar_spread,dvol,dvol_regime
2024-01-01,42283.58,44184.1,42180.77,44179.55,27174.29903,1169995682.0280013,1114623,14331.7318,617352094.5605193,,0.0,,,,,,,0.0274002388866753,,,,,,66.81,extreme_fear
2024-01-02,44179.55,45879.63,44148.34,44946.91,65146.40661,2944331821.823076,2247532,33817.14447,1527964124.2375848,0.0,0.0,,,,,,,0.019094547646301,,,,,,63.75,extreme_fear
2024-01-03,44946.91,45500.0,40750.0,42845.23,81194.55173,3507104563.744232,2658041,39103.99162,1687665202.9513144,0.0,0.0,,,,,,,0.0183914340701792,,,,,241.770882968037,65.17,extreme_fear
2024-01-04,42845.23,44729.58,42613.77,44151.1,48038.06334,2095095359.4936347,1819944,23605.90059,1030075267.839013,245.7228335042524,0.0,,,,,,,0.0086000777565911,,,,,352.9331277009622,65.34,extreme_fear
2024-01-05,44151.1,44357.46,42450.0,44145.11,48075.25327,2100953924.3687155,2064845,24015.06426,1049655019.1400094,316.58049820158885,0.0,,,,,,,0.000469313700197,,,,,252.57882032640975,67.64,extreme_fear
2024-01-06,44145.12,44214.42,43397.05,43968.32,17835.06144,781212883.4916061,956642,9048.57073,396341787.3638776,91.66038628234072,0.0,,,,,,,0.0073473259646897,,,,,0.0,71.39,extreme_fear
2024-01-07,43968.32,44480.59,43572.09,43929.02,23023.8508,1014635096.1241482,1109259,11613.52347,511871007.52582633,76.28590955204804,0.0,,,,,,,0.0044127314271837,,,,,0.0,71.81,extreme_fear
2024-01-08,43929.01,47248.99,43175.0,46951.04,72814.57589,3298772150.681508,2364464,38728.8053,1755312207.668183,56.28096397420373,0.0,,,,,,,0.0318825911793682,,,,,690.7673967810947,67.16,extreme_fear
2024-01-09,46951.04,47972.0,44748.67,46110.0,69927.66617,3251442072.8083963,2637745,34825.45429,1620151226.3362696,205.77455025285883,0.0,,,,,,,0.0019788847902293,,,,,717.0567330404975,64.17,extreme_fear
2024-01-10,46110.0,47695.93,44300.36,46653.99,89911.41203,4123809481.712767,3133588,46910.79439,2153126701.352164,526.812287332746,0.0,,,,,,,0.0217446076183033,,,,,228.3170210701624,62.7,extreme_fear
2024-01-11,46654.0,48969.48,45606.06,46339.16,87470.3296,4105139605.028302,2998451,44076.1683,2070467939.6599925,56.75258795667338,0.0,,,,,,,0.0038985048022495,,,,,247.07455026611584,57.3,fear
2024-01-12,46339.16,46515.53,41500.0,42782.73,86327.93707,3827483735.576057,2809192,41707.58066,1850840878.9778297,0.0,0.0,,,,,,,0.0168704121102664,,,,,713.2226120924611,57.42,fear
2024-01-13,42782.74,43257.0,42436.12,42847.99,36118.47464,1547370611.5531662,1434243,17748.09824,760432218.245455,38.56657443728941,0.0,,,,,,,0.0086144025488683,,,,,688.922828670975,55.07,fear
2024-01-14,42847.99,43079.0,41720.0,41732.35,28228.40894,1202212782.257693,1235727,13690.30843,583261659.738576,28.14672057492133,0.0,,,,,,,0.015016646559891,,,,,292.3769727461457,56.87,fear
2024-01-15,41732.35,43400.43,41718.05,42511.1,40269.89303,1718982911.1081028,1657611,19924.7603,849997411.0875828,274.2916230239261,0.0,,,,,,,0.0052194381257348,,,,,279.6817056323929,55.96,fear
2024-01-16,42511.1,43578.01,42050.0,43137.95,45045.74589,1931947150.0590703,1716580,24064.55667,1031525441.9352084,232.84782732587945,0.0,,,,,,,0.0342248461988992,,,,,133.3994549087117,55.16,fear
2024-01-17,43137.94,43198.0,42200.69,42776.1,33266.21388,1419888430.9228892,1438172,16648.20529,710532768.047578,168.1064283977273,0.0,,,,,,,0.0004538643938986,,,,,138.41838489741278,50.79,neutral
2024-01-18,42776.09,42930.0,40683.28,41327.5,43907.51641,1839426541.2635791,1466087,21085.14336,883292634.2063637,0.0,0.0,,,,,,,0.0197828279989487,,,,,279.3273812665285,48.31,greed
2024-01-19,41327.51,42196.86,40280.0,41659.03,48342.74559,1993846466.538752,1641428,24347.5002,1004478721.3792056,177.5245953930904,0.0,,,,,,,0.003643305791808,,,,,309.9308636664342,48.04,greed
2024-01-20,41659.03,41872.56,41456.3,41696.04,15923.99493,662768008.1509343,807324,7557.36632,314535141.9955636,25.624487535864056,0.0,,0.5529268530758172,,0.0502398623533814,0.4772005419250624,,0.0254101528403367,0.380327459274965,,,,127.18340844726048,47.96,greed
2024-01-21,41696.05,41881.39,41500.98,41580.33,11730.16301,489151571.0309043,657817,5576.56045,232552207.16073287,80.36351106866483,0.0,0.0083976090157343,0.5443547771998914,0.4779281385770195,0.0484300428059219,0.5050092520547678,,0.0245965085697515,0.402446955406878,0.2631790906914707,,,40.23863849004496,47.82,greed
2024-01-22,41580.32,41689.65,39431.58,39568.02,55426.19911,2247452153.7954326,2147250,26788.13985,1086650848.0670524,0.0,290.4256902223047,0.0092087879935961,0.5510808159799856,0.4987826273024647,0.0493575179074335,0.5054562729102274,,0.0166881316029691,0.4021594252006716,0.2740700726049491,,,506.7505037225959,48.98,neutral
2024-01-23,39568.02,40176.74,38555.0,39897.6,57956.63351,2275851990.6468267,2043925,30913.97177,1214417243.6964118,0.0,277.62793052452827,0.0087083023719189,0.5061224365103189,0.4761153409059164,0.0458466883012489,0.4956650730362783,,0.0333983341987239,0.3959927948075816,0.2609810146035827,,,522.4728798159326,49.59,neutral
2024-01-24,39897.59,40555.0,39484.19,40084.88,39293.82861,1569704923.8307493,1675615,20673.05725,825887009.4744226,0.0,208.9899921564293,0.0081409524107797,0.4987412403635438,0.4606513426540171,0.0447862653757344,0.5018880119465281,,0.0261146083570691,0.3979085324603931,0.2527188040148758,,,152.7584012794687,47.54,greed
2024-01-25,40084.89,40300.24,39550.0,39961.09,31022.11853,1238813296.1526136,1291233,15685.24919,626369240.3733964,143.38399850225105,216.27294573040697,0.0082625596206173,0.4914955500148316,0.4603710780809188,0.0435645353703855,0.5171150620836054,0.0418157618598689,0.005615023513997,0.409941121880415,0.2519678067256522,0.2794654119717371,0.4442926307954528,31.2029538240204,45.01,greed
