step,timestamp,mid_price,best_bid,best_ask,spread_bps,imbalance,sentiment,epistemic_uncertainty,aleatoric_uncertainty,regime,fills_this_step,total_volume,trade_count,mm_0_position,mm_0_cash,mm_1_position,mm_1_cash,informed_0_position,informed_0_cash,informed_1_position,informed_1_cash,informed_2_position,informed_2_cash,informed_3_position,informed_3_cash,informed_4_position,informed_4_cash,noise_0_position,noise_0_cash,noise_1_position,noise_1_cash,noise_2_position,noise_2_cash,noise_3_position,noise_3_cash,noise_4_position,noise_4_cash,noise_5_position,noise_5_cash,noise_6_position,noise_6_cash,noise_7_position,noise_7_cash,noise_8_position,noise_8_cash,noise_9_position,noise_9_cash
11,2025-12-17T18:39:38.512219,42715.40072426449,42699.150341441455,42731.65110708752,7.6086762841964015,0.8967264142666468,0.3765589799913849,0.06045196182957912,0.21556100775242232,bullish,5,15.828732001301605,85,-3.5232324161827826,248925.95668861835,-3.6329929250649045,253510.10208682716,3.0,-26607.967645292716,3.2999999999999994,-39468.089028313094,2.7,-13878.389308825957,1.8,24204.629943037024,0.6,74765.08661436201,0.07960875022580143,96652.5199929817,0.09044628133421022,96191.12613716023,0.0,100000.0,0.19046720713381357,91972.67659949126,0.35643572388508193,84955.78115966279,-0.051265652993898736,102099.18010919413,0.018593184893002233,99217.96963659032,-0.031069255954247955,101308.34223787856,0.03497160064083549,98388.11506347512,0.06803750208308988,97132.95971315303
12,2025-12-17T18:39:38.512369,42874.498854347985,42843.692606444725,42905.305102251245,14.37042938177015,0.9496725833941253,0.3664609386382545,0.0658422649300174,0.22908797509027998,bullish,8,17.183964206567204,93,-3.723232416182783,257544.9856514154,-4.2882251303305035,281550.0662043294,3.3,-39463.153728029465,3.5999999999999996,-52336.23550810999,2.7,-13878.389308825957,1.8,24204.629943037024,0.6,74765.08661436201,0.07960875022580143,96652.5199929817,0.09044628133421022,96191.12613716023,0.0,100000.0,0.19046720713381357,91972.67659949126,0.35643572388508193,84955.78115966279,0.05257415289095384,97659.05667702128,0.16998558427374907,92722.4325509975,-0.031069255954247955,101308.34223787856,0.03497160064083549,98388.11506347512,0.06803750208308988,97132.95971315303
13,2025-12-17T18:39:38.512506,43046.3002413141,43031.08629672868,43061.51418589952,7.068642136551079,0.9006578597697787,0.32473608396472176,0.06012776049103528,0.22944719567039792,bullish,5,17.890961984518306,98,-3.9784646214483823,268535.6708791584,-4.525995147113802,291758.25371872954,3.6,-52374.61484760691,3.8999999999999995,-65207.82703878536,2.7,-13878.389308825957,1.8,24204.629943037024,0.6,74765.08661436201,0.07960875022580143,96652.5199929817,0.09044628133421022,96191.12613716023,0.0,100000.0,0.19046720713381357,91972.67659949126,0.35643572388508193,84955.78115966279,-0.01077259597280876,100373.06531295797,0.12633455518640976,94592.60382317044,-0.031069255954247955,101308.34223787856,0.03497160064083549,98388.11506347512,0.06803750208308988,97132.95971315303
14,2025-12-17T18:39:38.512631,43229.50055268398,43214.06545221903,43244.93565314894,7.141003373908278,0.9151166868062922,0.3326372497545595,0.05712304021025027,0.22532278046134152,bullish,5,18.982002875171272,103,-4.023232416182783,270510.5363640664,-5.072268243032368,315307.03003328334,3.8447677947344006,-62922.29157020636,4.199999999999999,-78181.30773473004,2.7,-13878.389308825957,1.8,24204.629943037024,0.6,74765.08661436201,0.07960875022580143,96652.5199929817,0.09044628133421022,96191.12613716023,0.0,100000.0,0.2367403030523793,89970.19221857355,0.35643572388508193,84955.78115966279,-0.01077259597280876,100373.06531295797,0.12633455518640976,94592.60382317044,-0.031069255954247955,101308.34223787856,0.03497160064083549,98388.11506347512,0.06803750208308988,97132.95971315303
15,2025-12-17T18:39:38.512737,43406.11193117006,43381.43689673966,43430.78696560046,11.36938248213964,0.8769172262367992,0.3110203093661809,0.06597950200964672,0.2186731123291332,bullish,3,19.635729779252706,106,-4.223232416182783,279159.5234946962,-5.025995147113802,313310.6283465075,3.8447677947344006,-62922.29157020636,4.353726904081434,-84833.89317858397,2.7,-13878.389308825957,1.8,24204.629943037024,0.6,74765.08661436201,0.07960875022580143,96652.5199929817,0.09044628133421022,96191.12613716023,0.0,100000.0,0.2367403030523793,89970.19221857355,0.35643572388508193,84955.78115966279,-0.01077259597280876,100373.06531295797,0.12633455518640976,94592.60382317044,-0.031069255954247955,101308.34223787856,0.03497160064083549,98388.11506347512,0.06803750208308988,97132.95971315303
16,2025-12-17T18:39:38.512871,43592.14454543821,43567.24869470272,43617.0403961737,11.42217296033271,0.8804714102247971,0.3131489068043791,0.05853340395914777,0.2307271643439798,bullish,5,20.652558811274087,111,-4.706403384161402,300141.7223541298,-5.025995147113802,313321.0664097266,4.144767794734401,-75951.5276598865,4.553726904081434,-93530.48863492325,2.7,-13878.389308825957,1.8,24204.629943037024,0.6,74765.08661436201,0.07960875022580143,96652.5199929817,0.09044628133421022,96191.12613716023,0.0,100000.0,0.2367403030523793,89970.19221857355,0.35643572388508193,84955.78115966279,-0.01077259597280876,100373.06531295797,0.10950552316502876,95325.79844653707,-0.031069255954247955,101308.34223787856,0.03497160064083549,98388.11506347512,0.06803750208308988,97132.95971315303
17,2025-12-17T18:39:38.513020,43803.73550231852,43782.808962498566,43824.66204213848,9.554682759350136,0.8996596148834455,0.26447931359035814,0.05644623948649573,0.23460689468504414,bullish,6,21.795466131319852,117,-4.706403384161403,300121.08979344234,-5.663114471911259,341163.59720826586,4.444767794734401,-89036.63977873861,4.553726904081434,-93530.48863492325,2.7,-13878.389308825957,1.8,24204.629943037024,0.6,74765.08661436201,0.07960875022580143,96652.5199929817,0.09044628133421022,96191.12613716023,0.0,100000.0,0.2367403030523793,89970.19221857355,0.35643572388508193,84955.78115966279,-0.01077259597280876,100373.06531295797,0.10950552316502876,95325.79844653707,-0.031069255954247955,101308.34223787856,0.17787892068660233,92122.28180115181,0.2622495068347801,88662.00685647668
18,2025-12-17T18:39:38.513170,44054.738288897315,44023.30481183842,44086.17176595621,14.270191257415515,0.9465427410105808,0.2682162238592358,0.06471105983381659,0.22541973071605761,bullish,6,23.203008160714166,123,-5.206403384161403,322139.7848471814,-5.713563821351338,343387.71589316195,4.7447677947344005,-102250.31781391687,4.553726904081434,-93530.48863492325,2.7,-13878.389308825957,1.8,24204.629943037024,0.6,74765.08661436201,0.07960875022580143,96652.5199929817,0.283349480123016,87696.17271911718,0.0,100000.0,0.2367403030523793,89970.19221857355,0.35643572388508193,84955.78115966279,0.046773554678464356,97838.88302754416,0.10950552316502876,95325.79844653707,-0.031069255954247955,101308.34223787856,0.17787892068660233,92122.28180115181,0.2622495068347801,88662.00685647668
19,2025-12-17T18:39:38.513430,44294.332125748515,44277.11664771886,44311.54760377817,7.773219372980507,0.8964150444457206,0.22572012113140258,0.05524631032668585,0.2410469368635752,bullish,5,23.90019661364506,128,-5.1260212623858274,318611.63373479707,-5.98464519832463,355358.4283628135,5.0447677947344,-115476.16934370373,4.553726904081434,-93530.48863492325,2.7,-13878.389308825957,1.8,24204.629943037024,0.6,74765.08661436201,0.07960875022580143,96652.5199929817,0.283349480123016,87696.17271911718,0.0691685287843459,96935.03544408915,0.2367403030523793,89970.19221857355,0.35643572388508193,84955.78115966279,0.046773554678464356,97838.88302754416,0.10950552316502876,95325.79844653707,-0.031069255954247955,101308.34223787856,0.17787892068660233,92122.28180115181,0.08378023324815106,96510.26158490725
20,2025-12-17T18:39:38.513594,44523.394730829306,44497.679460003455,44549.11000165516,11.551352263822276,0.8892217306779061,0.2267690587730153,0.062123395067826596,0.2388006581813368,bullish,5,25.019671830731454,133,-5.258080925245028,324454.6766002457,-5.796001452453888,347014.55239390774,5.0447677947344,-115476.16934370373,4.553726904081434,-93530.48863492325,2.7,-13878.389308825957,1.8,24204.629943037024,0.6,74765.08661436201,0.07960875022580143,96652.5199929817,0.415409142982216,81844.40468179285,-0.11947521708639605,105287.63658487063,0.2367403030523793,89970.19221857355,0.35643572388508193,84955.78115966279,0.046773554678464356,97838.88302754416,0.10950552316502876,95325.79844653707,-0.031069255954247955,101308.34223787856,0.17787892068660233,92122.28180115181,0.08378023324815106,96510.26158490725
