step,timestamp,mid_price,best_bid,best_ask,spread_bps,imbalance,sentiment,epistemic_uncertainty,aleatoric_uncertainty,regime,fills_this_step,total_volume,trade_count,mm_0_position,mm_0_cash,mm_1_position,mm_1_cash,informed_0_position,informed_0_cash,informed_1_position,informed_1_cash,informed_2_position,informed_2_cash,informed_3_position,informed_3_cash,informed_4_position,informed_4_cash,noise_0_position,noise_0_cash,noise_1_position,noise_1_cash,noise_2_position,noise_2_cash,noise_3_position,noise_3_cash,noise_4_position,noise_4_cash,noise_5_position,noise_5_cash,noise_6_position,noise_6_cash,noise_7_position,noise_7_cash,noise_8_position,noise_8_cash,noise_9_position,noise_9_cash
11,2025-12-17T18:43:12.788822,42711.84384715135,42676.491381596716,42747.19631270598,16.553940251862695,0.8866193126428046,0.4069441804576077,0.0577874141898758,0.6873711347579956,bullish,7,16.090439144466757,94,-3.868903583299602,263601.28105759615,-3.811011269789415,261077.70145607702,3.256932012305173,-37572.05812141418,3.3000000000000003,-39454.63066141174,3.3,-39388.015153108645,1.5,36852.036784551936,0.6,74765.83897492939,0.02204232725016525,99055.37588380183,0.0353538296852845,98498.54335453603,0.1185967645647443,94973.80252489574,0.05303419728760821,97756.09453889905,0.4353658287196497,81638.5422307091,-0.1468264646608647,106218.59243058009,-0.1400302996543375,105888.66379739594,-0.013101399261580451,100537.49957673563,0.21454857740025082,90961.62250551184,-0.024164622299156457,101014.93820102872
12,2025-12-17T18:43:12.788980,42874.84290210002,42833.30402820819,42916.381775991846,19.376805175321955,0.9279437377080915,0.3651102838552241,0.05739804348038201,0.6873711347579956,bullish,6,17.37422950858189,100,-3.7151766792181675,257037.71564545322,-4.748528537985985,301231.1733894417,3.5569320123051726,-50449.17759221017,3.6,-52278.789555223535,3.3,-39388.015153108645,1.5,36852.036784551936,0.6,74765.83897492939,0.02204232725016525,99055.37588380183,0.0353538296852845,98498.54335453603,0.16486986048331004,92987.92867449748,0.05303419728760821,97756.09453889905,0.4353658287196497,81638.5422307091,-0.1468264646608647,106218.59243058009,-0.1400302996543375,105888.66379739594,-0.013101399261580451,100537.49957673563,0.21454857740025082,90961.62250551184,0.11335264589741316,95112.18389481299
13,2025-12-17T18:43:12.789137,43055.22222115487,43036.92394485424,43073.5204974555,8.499910281098789,0.9094696517787947,0.36040254608791994,0.05702814130636291,0.6873711347579956,bullish,7,18.204165561248775,107,-4.168903583299602,276510.0326830509,-5.094243313259426,316132.792587198,3.8569320123051725,-63324.54018282879,3.9000000000000004,-65216.781244792735,3.3,-39388.015153108645,1.5,36852.036784551936,0.6,74765.83897492939,0.02204232725016525,99055.37588380183,0.0353538296852845,98498.54335453603,0.16486986048331004,92987.92867449748,0.05303419728760821,97756.09453889905,0.5646657675598905,76089.45669182893,-0.0614375374902259,102554.00863268258,-0.15527748631034138,106541.75117900739,-0.013101399261580451,100537.49957673563,0.21454857740025082,90961.62250551184,0.11335264589741316,95112.18389481299
14,2025-12-17T18:43:12.789304,43253.65893015078,43232.97834155856,43274.339518742985,9.562468981229001,0.9124962183448534,0.3694151989299572,0.05667673424104476,0.6873711347579956,bullish,6,19.182937817646042,113,-4.946155069822884,310044.6678916634,-5.295764083133411,324823.91441086994,4.156932012305172,-76246.59633206544,4.145221994785249,-75790.26867544386,3.3,-39388.015153108645,1.5,36852.036784551936,0.6,74765.83897492939,0.18833643377550033,91859.10825805846,0.0353538296852845,98498.54335453603,0.3211686355720461,86255.59018198562,0.05303419728760821,97756.09453889905,0.5646657675598905,76089.45669182893,0.04951984250772222,97752.4012985412,-0.15527748631034138,106541.75117900739,-0.013101399261580451,100537.49957673563,0.21454857740025082,90961.62250551184,0.11335264589741316,95112.18389481299
15,2025-12-17T18:43:12.789432,43473.76862827358,43440.50564110851,43507.03161543865,15.302555179648554,0.8911477847418863,0.3272446220292352,0.056342897528992526,0.6873711347579956,bullish,4,19.963232481774032,117,-4.803701220474157,303872.43181288225,-5.795764083133411,346485.957552517,4.456932012305172,-89232.74119919963,4.145221994785249,-75790.26867544386,3.3,-39388.015153108645,1.5,36852.036784551936,0.6,74765.83897492939,0.18833643377550033,91859.10825805846,0.09289998033655761,95994.88115880429,0.3211686355720461,86255.59018198562,0.05303419728760821,97756.09453889905,0.5646657675598905,76089.45669182893,0.04951984250772222,97752.4012985412,-0.15527748631034138,106541.75117900739,-0.013101399261580451,100537.49957673563,0.21454857740025082,90961.62250551184,0.11335264589741316,95112.18389481299
16,2025-12-17T18:43:12.789652,43734.48489699762,43695.75881503689,43773.210978958356,17.70963213671747,0.9882843504184765,0.8053189061829019,0.0022646987345069647,0.5187911987304688,bullish,12,22.089353182653287,129,-5.746155069822884,344982.57869427995,-6.293192205196796,368235.58936305495,4.756932012305172,-102354.17960485953,4.445221994785249,-88842.37816007546,3.5999999999999996,-52504.19111475473,1.8,23720.07349086443,0.8999999999999999,61706.23542602544,0.2157782562800543,90664.51051616225,0.28900698077464426,87461.50742352668,0.3211686355720461,86255.59018198562,0.05303419728760821,97756.09453889905,0.5646657675598905,76089.45669182893,0.04951984250772222,97752.4012985412,-0.15527748631034138,106541.75117900739,-0.1915706728482095,108290.29506274013,0.21454857740025082,90961.62250551184,0.008155067953513909,99708.87188857565
17,2025-12-17T18:43:12.789852,44017.76485201974,43976.749670102865,44058.780033936615,18.635740390163424,0.9777507469441413,0.736300938629098,0.06497207224369049,0.5187911987304688,bullish,7,23.182404730748413,136,-6.246155069822884,366995.09995583195,-6.500140657101672,377340.7648671267,4.946634416271868,-110705.83600622839,4.445221994785249,-88842.37816007546,3.6999999999999997,-56881.51221265057,2.1,10502.439480683446,0.8999999999999999,61706.23542602544,0.2157782562800543,90664.51051616225,0.28900698077464426,87461.50742352668,0.3211686355720461,86255.59018198562,0.05303419728760821,97756.09453889905,0.5646657675598905,76089.45669182893,0.04951984250772222,97752.4012985412,-0.015506199361233569,100388.31432756393,-0.021044363764013113,100782.86705400038,0.15099617019330486,93756.45080818415,-0.12134407293466405,105403.82318990843
18,2025-12-17T18:43:12.789997,44312.1772586065,44270.921124280576,44353.43339293242,18.620675795346635,0.9481277532780071,0.7533997844076233,0.06422346863150596,0.5187911987304688,bullish,4,23.882404730748412,140,-6.746155069822884,389161.27202557353,-6.700140657101672,386152.520873914,4.946634416271868,-110705.83600622839,4.445221994785249,-88842.37816007546,4.0,-70126.5026333862,2.379696637654657,-1897.1681144791255,0.8999999999999999,61706.23542602544,0.2157782562800543,90664.51051616225,0.40931034311998715,82128.177362896,0.3211686355720461,86255.59018198562,0.05303419728760821,97756.09453889905,0.5646657675598905,76089.45669182893,0.04951984250772222,97752.4012985412,-0.015506199361233569,100388.31432756393,-0.021044363764013113,100782.86705400038,0.15099617019330486,93756.45080818415,-0.12134407293466405,105403.82318990843
19,2025-12-17T18:43:12.790170,,44574.96000304436,,,1.0,0.6673889481833372,0.06351229519993067,0.5187911987304688,bullish,7,25.577511890369955,147,-6.746155069822884,389309.67308992596,-7.505033497480133,422020.6523378752,4.946634416271868,-110705.83600622839,4.745221994785249,-102237.44881656664,4.1,-74592.3003217627,2.679696637654657,-15294.56117960862,1.1999999999999997,48310.39063332149,0.2157782562800543,90664.51051616225,0.40931034311998715,82128.177362896,0.3211686355720461,86255.59018198562,0.05303419728760821,97756.09453889905,0.5646657675598905,76089.45669182893,0.04951984250772222,97752.4012985412,-0.015506199361233569,100388.31432756393,-0.021044363764013113,100782.86705400038,0.15099617019330486,93756.45080818415,-0.316451232556202,114041.39686429597
20,2025-12-17T18:43:12.790273,,44574.96000304436,,,1.0,0.6615144928879685,0.06283668043993414,0.5187911987304688,bullish,0,25.577511890369955,147,-6.746155069822884,389309.67308992596,-7.505033497480133,422020.6523378752,4.946634416271868,-110705.83600622839,4.745221994785249,-102237.44881656664,4.1,-74592.3003217627,2.679696637654657,-15294.56117960862,1.1999999999999997,48310.39063332149,0.2157782562800543,90664.51051616225,0.40931034311998715,82128.177362896,0.3211686355720461,86255.59018198562,0.05303419728760821,97756.09453889905,0.5646657675598905,76089.45669182893,0.04951984250772222,97752.4012985412,-0.015506199361233569,100388.31432756393,-0.021044363764013113,100782.86705400038,0.15099617019330486,93756.45080818415,-0.316451232556202,114041.39686429597
