step,timestamp,mid_price,best_bid,best_ask,spread_bps,imbalance,sentiment,epistemic_uncertainty,aleatoric_uncertainty,regime,fills_this_step,total_volume,trade_count,mm_0_position,mm_0_cash,mm_1_position,mm_1_cash,informed_0_position,informed_0_cash,informed_1_position,informed_1_cash,informed_2_position,informed_2_cash,informed_3_position,informed_3_cash,informed_4_position,informed_4_cash,noise_0_position,noise_0_cash,noise_1_position,noise_1_cash,noise_2_position,noise_2_cash,noise_3_position,noise_3_cash,noise_4_position,noise_4_cash,noise_5_position,noise_5_cash,noise_6_position,noise_6_cash,noise_7_position,noise_7_cash,noise_8_position,noise_8_cash,noise_9_position,noise_9_cash,source
11,2025-12-17T20:12:00.727169,42086.32334498962,42062.28768459468,42110.35900538457,11.422076572438554,0.24375488793673888,0.2862447370220392,0.007492333650588989,0.6094170212745667,bullish,5,9.713940406428362,57,-1.6506276202465742,169413.88851708052,-1.1197468045496517,147113.74271385145,3.3000000000000003,-38772.887571795836,1.2,49539.53998593148,0.0,100000.0,0.0,100000.0,0.0,100000.0,-0.05216935990117793,102186.33815223264,0.059536654949506634,97489.92836946291,0.01673308081069111,99290.92457680912,-0.10550901441348368,104434.48546169336,0.18257051833366422,92321.4934273602,0.02520521269526771,98932.24304278467,0.029109484528934026,98759.60633984083,0.11276012693098703,95247.92290810106,-0.053657117683106326,102262.09983501607,0.05579483854494223,97654.67424163147,single
12,2025-12-17T20:12:00.727314,42110.97237560674,42095.94475121349,42125.99999999999,7.137153832124753,0.2660788802622216,0.28618577397004663,0.007492333650588989,0.6094170212745667,bullish,6,10.769172611693962,63,-1.6506276202465742,169418.09906718959,-1.5197468045496516,163957.88631600526,3.6,-51409.15318599299,1.2,49539.53998593148,0.0,100000.0,0.0,100000.0,0.0,100000.0,-0.05216935990117793,102186.33815223264,0.059536654949506634,97489.92836946291,0.01673308081069111,99290.92457680912,-0.0016692085286311026,100060.12979898805,0.33396291771441106,85944.44867298115,0.02520521269526771,98932.24304278467,0.029109484528934026,98759.60633984083,0.11276012693098703,95247.92290810106,-0.053657117683106326,102262.09983501607,0.05579483854494223,97654.67424163147,single
13,2025-12-17T20:12:00.727486,42119.60410995235,42095.94475121349,42143.26346869121,11.234369001712889,0.2980338561661946,0.30825814044322414,0.007492333650588989,0.6094170212745667,bullish,9,12.567525377825357,72,-1.1506276202465742,148355.09906718959,-1.5766262436838594,166364.69596725208,3.9000000000000004,-64051.69804253863,1.5,36901.73998593148,0.0,100000.0,0.0,100000.0,0.0,100000.0,-0.05216935990117793,102186.33815223264,0.059536654949506634,97489.92836946291,0.01673308081069111,99290.92457680912,-0.0650159573923937,102726.771039326,0.29031188862707175,87781.9799817754,0.02520521269526771,98932.24304278467,0.029109484528934026,98759.60633984083,0.11276012693098703,95247.92290810106,-0.053657117683106326,102262.09983501607,-0.03556014963534748,101500.34877681671,single
14,2025-12-17T20:12:00.727639,42153.28890367557,42148.5677253324,42158.01008201874,2.24000473792623,0.28583786834757374,0.29482970110333134,0.007492333650588989,0.6094170212745667,bullish,5,13.430205900102026,77,-0.7646479816362157,132090.645253095,-2.0533271273501708,186457.84713093968,4.2,-76698.09731072633,1.5,36901.73998593148,0.0,100000.0,0.0,100000.0,0.0,100000.0,-0.05216935990117793,102186.33815223264,0.059536654949506634,97489.92836946291,0.01673308081069111,99290.92457680912,-0.2528853644829421,110643.23343539075,0.29031188862707175,87781.9799817754,0.02520521269526771,98932.24304278467,-0.169000746990876,107107.59775787068,0.28946101059729856,87801.17101260113,-0.053657117683106326,102262.09983501607,-0.03556014963534748,101500.34877681671,single
15,2025-12-17T20:12:00.727820,42161.78140314235,42155.56280628469,42168.0,2.949873867138101,0.2976560756644365,0.29720644765277104,0.007492333650588989,0.6094170212745667,bullish,8,14.629539318162088,85,-1.0952506162430367,146031.38689206282,-1.8061468517622559,176034.44307924953,4.5,-89345.67774752754,1.5,36901.73998593148,0.0,100000.0,0.0,100000.0,0.0,100000.0,0.07713057893906292,96734.01833121736,0.14492558212014542,93889.24808853141,0.001485894154687216,99933.57165620048,-0.2528853644829421,110643.23343539075,0.29031188862707175,87781.9799817754,0.02520521269526771,98932.24304278467,-0.169000746990876,107107.59775787068,0.12006364520411952,94942.21228865244,-0.053657117683106326,102262.09983501607,-0.03556014963534748,101500.34877681671,single
16,2025-12-17T20:12:00.727956,42166.26952536103,42155.56280628469,42176.97624443737,5.078333557537676,0.32399899859963416,0.2553524846420108,0.007492333650588989,0.6094170212745667,bullish,6,16.040496698160037,91,-0.5952506162430367,124945.14746357806,-1.9637261867029947,182681.48790351534,4.8,-101996.07774752754,1.5,36901.73998593148,0.0,100000.0,0.0,100000.0,0.0,100000.0,0.07713057893906292,96734.01833121736,0.14492558212014542,93889.24808853141,0.001485894154687216,99933.57165620048,-0.14192798448499394,105964.38263563727,0.29031188862707175,87781.9799817754,0.02520521269526771,98932.24304278467,-0.169000746990876,107107.59775787068,0.12006364520411952,94942.21228865244,-0.053657117683106326,102262.09983501607,-0.03556014963534748,101500.34877681671,single
17,2025-12-17T20:12:00.728139,42175.89030314842,42161.16691486579,42190.613691431055,6.981898035491617,0.3443726950251884,0.26941665700341455,0.007492333650588989,0.6094170212745667,bullish,8,17.303078087500985,99,-1.2470318431227565,152448.23537926632,-1.8061468517622559,176033.32879801717,5.1,-114653.055754987,1.5,36901.73998593148,0.0,100000.0,0.0,100000.0,0.0,100000.0,0.21794556008448254,90792.94785974482,0.050878658471235585,97853.8490851509,0.001485894154687216,99933.57165620048,0.045648675009550915,98050.65792505535,0.29031188862707175,87781.9799817754,0.02520521269526771,98932.24304278467,-0.169000746990876,107107.59775787068,0.12006364520411952,94942.21228865244,-0.053657117683106326,102262.09983501607,-0.07570297468742078,103192.59215952108,single
18,2025-12-17T20:12:00.728307,42182.07842752183,42161.16691486579,42202.98994017787,9.914880174512852,0.34549285237568655,0.2725049627502087,0.007492333650588989,0.6094170212745667,bullish,7,18.741784179402256,106,-1.6184042319629712,168131.7702448048,-1.3061468517622559,154933.18795858492,5.1,-114653.055754987,1.5,36901.73998593148,0.0,100000.0,0.0,100000.0,0.0,100000.0,0.21794556008448254,90792.94785974482,0.050878658471235585,97853.8490851509,0.15652513452543032,93390.4521545012,0.045648675009550915,98050.65792505535,0.29031188862707175,87781.9799817754,0.02520521269526771,98932.24304278467,-0.169000746990876,107107.59775787068,-0.05840562838250951,102466.68512151316,-0.053657117683106326,102262.09983501607,-0.18090055263132004,107627.84480225343,single
19,2025-12-17T20:12:00.728414,42204.78844058816,42199.57688117634,42209.99999999999,2.4696531386063953,0.3290740642511809,0.28546654272929184,0.007492333650588989,0.6094170212745667,bullish,2,19.241784179402256,108,-1.1773940160115246,149516.72902949425,-1.3061468517622559,154933.18795858492,5.1,-114653.055754987,1.5,36901.73998593148,0.0,100000.0,0.0,100000.0,0.0,100000.0,0.21794556008448254,90792.94785974482,0.050878658471235585,97853.8490851509,0.15652513452543032,93390.4521545012,0.045648675009550915,98050.65792505535,0.29031188862707175,87781.9799817754,0.02520521269526771,98932.24304278467,-0.169000746990876,107107.59775787068,-0.05840562838250951,102466.68512151316,-0.053657117683106326,102262.09983501607,-0.18090055263132004,107627.84480225343,single
20,2025-12-17T20:12:00.728545,42207.5432907707,42199.57688117634,42215.50970036506,3.7748748082672536,0.3267080572305653,0.2763642290922562,0.007492333650588989,0.6094170212745667,bullish,4,20.315729480231113,112,-1.118404231962971,147026.7702448048,-0.7322015509333979,130707.72755125581,5.1,-114653.055754987,1.5,36901.73998593148,0.0,100000.0,0.0,100000.0,0.0,100000.0,0.21794556008448254,90792.94785974482,0.050878658471235585,97853.8490851509,0.08257983369657229,96510.91256183031,0.045648675009550915,98050.65792505535,0.29031188862707175,87781.9799817754,0.02520521269526771,98932.24304278467,-0.169000746990876,107107.59775787068,-0.05840562838250951,102466.68512151316,-0.053657117683106326,102262.09983501607,-0.18090055263132004,107627.84480225343,single
21,2025-12-17T20:12:00.728709,42227.17921283134,42224.695129518564,42229.663296144114,1.17653291509454,0.39415291583693757,0.6155613378455054,0.0021977981086820364,0.7230479717254639,bullish,9,22.09502262662501,121,-1.718404231962971,172361.58312997947,-1.4525049132787407,161120.4419309134,5.1,-114653.055754987,1.8,24233.90541097796,0.3,87334.30226665539,0.3,87331.38377851705,0.3,87334.56490828714,0.21794556008448254,90792.94785974482,0.050878658471235585,97853.8490851509,0.08257983369657229,96510.91256183031,0.045648675009550915,98050.65792505535,0.29031188862707175,87781.9799817754,0.02520521269526771,98932.24304278467,-0.04869738464553314,102027.65411453236,-0.05840562838250951,102466.68512151316,-0.053657117683106326,102262.09983501607,-0.18090055263132004,107627.84480225343,single
22,2025-12-17T20:12:00.728866,42275.19892192269,42269.605106053335,42280.79273779204,2.6463818087217232,0.464703404196881,0.6072453094444237,0.0021977981086820364,0.7230479717254639,bullish,8,23.866842148687475,129,-2.338707594308314,198567.28756272295,-2.2243244353412055,193739.2824413041,5.1,-114653.055754987,2.1,11549.667589640349,0.6,74659.0392203616,0.6,74658.60886222235,0.6,74665.40360491234,0.21794556008448254,90792.94785974482,0.050878658471235585,97853.8490851509,0.08257983369657229,96510.91256183031,0.045648675009550915,98050.65792505535,0.48243477303487947,79658.8721259421,0.02520521269526771,98932.24304278467,-0.04869738464553314,102027.65411453236,-0.05840562838250951,102466.68512151316,-0.053657117683106326,102262.09983501607,-0.18090055263132004,107627.84480225343,single
23,2025-12-17T20:12:00.729101,42271.67393826973,42250.84256031038,42292.505316229064,9.855951287740073,0.5782286459339345,0.6327764770995717,0.0021977981086820364,0.7230479717254639,bullish,17,26.52983549125392,146,-2.71840423196297,214627.6884411263,-3.2192490939335294,235808.25524964067,5.1,-114653.055754987,2.4000000000000004,-1137.1622776068255,0.8999999999999999,61972.27197369859,0.8999999999999999,61974.248655495954,0.8999999999999999,61979.831383264245,0.21794556008448254,90792.94785974482,0.071814822874398,96968.64268605408,0.08257983369657229,96510.91256183031,0.045648675009550915,98050.65792505535,0.48243477303487947,79658.8721259421,0.02520521269526771,98932.24304278467,0.1059896353807866,95487.29947517769,-0.05840562838250951,102466.68512151316,0.08952701729412649,96207.57856775403,-0.3250865757910543,113722.08296351167,single
24,2025-12-17T20:12:00.729302,42294.924962238896,42250.84256031038,42339.00736416741,20.845244183726862,0.6873198573126457,0.6307040325785054,0.0021977981086820364,0.7230479717254639,bullish,13,28.890419478097183,159,-2.71840423196297,214614.47614891862,-4.347639465877187,283550.8801595867,5.1,-114653.055754987,2.7,-13824.913872475545,1.2,49283.71372125162,1.1999999999999997,49285.60171299411,1.2,49291.74882379209,0.21794556008448254,90792.94785974482,0.071814822874398,96968.64268605408,0.08257983369657229,96510.91256183031,-0.07044813244025204,102955.84585837164,0.48243477303487947,79658.8721259421,0.02520521269526771,98932.24304278467,0.11814682788659622,94973.14134649531,-0.05840562838250951,102466.68512151316,0.12185700418177642,94840.17549467138,-0.3250865757910543,113722.08296351167,single
25,2025-12-17T20:12:00.729473,42403.62500681862,42380.02931379838,42427.22069983885,11.12909239077531,0.7671190764907277,0.644539243175764,0.0021977981086820364,0.7230479717254639,bullish,11,30.826245194251563,170,-3.7250153454223858,257272.39800633324,-4.407590096766259,286105.3610179646,5.1,-114653.055754987,3.0,-26526.95495721723,1.5,36570.080446026506,1.4999999999999998,36561.149158035725,1.5,36589.98401589863,0.21794556008448254,90792.94785974482,0.071814822874398,96968.64268605408,0.08257983369657229,96510.91256183031,-0.2550801183431973,110756.70282635443,0.48243477303487947,79658.8721259421,0.02520521269526771,98932.24304278467,0.16934055813802956,92801.77338553862,-0.05840562838250951,102466.68512151316,0.12185700418177642,94840.17549467138,-0.3250865757910543,113722.08296351167,single
26,2025-12-17T20:12:00.729640,42577.459828710635,42552.740100402,42602.17955701928,11.611650111625488,0.8785152663158065,0.6116359801857911,0.0021977981086820364,0.7230479717254639,bullish,11,32.81963408079214,181,-4.21840423196297,278204.3447292306,-5.244569668931547,321666.3023919889,5.1,-114653.055754987,3.3,-39264.52027719679,1.8,23811.14753923124,1.7999999999999998,23832.98294808407,1.7999999999999998,23858.326728813798,0.26018474182464,89000.85677387455,0.071814822874398,96968.64268605408,0.08257983369657229,96510.91256183031,-0.2550801183431973,110756.70282635443,0.48243477303487947,79658.8721259421,0.02520521269526771,98932.24304278467,0.16934055813802956,92801.77338553862,-0.05840562838250951,102466.68512151316,0.2099862811474918,91095.70020743132,-0.3250865757910543,113722.08296351167,single
27,2025-12-17T20:12:00.729840,,42762.913888011695,,,1.0,0.6202039123474609,0.0021977981086820364,0.7230479717254639,bullish,11,34.819634080792135,192,-4.71840423196297,299591.57088855654,-6.244569668931546,364412.84405783314,5.1,-114653.055754987,3.5653979280560932,-50637.30187308638,2.1,10966.752628653026,2.0999999999999996,11000.229090540019,2.0999999999999996,11077.672861708015,0.41792917573433286,82274.43325599308,0.071814822874398,96968.64268605408,0.08257983369657229,96510.91256183031,-0.2550801183431973,110756.70282635443,0.48243477303487947,79658.8721259421,0.02520521269526771,98932.24304278467,0.16934055813802956,92801.77338553862,-0.05840562838250951,102466.68512151316,0.2454181837196121,89579.28888088766,-0.18366084032896102,107661.73421388428,single
28,2025-12-17T20:12:00.729929,,42762.913888011695,,,1.0,0.638106079808002,0.0021977981086820364,0.7230479717254639,bullish,0,34.819634080792135,192,-4.71840423196297,299591.57088855654,-6.244569668931546,364412.84405783314,5.1,-114653.055754987,3.5653979280560932,-50637.30187308638,2.1,10966.752628653026,2.0999999999999996,11000.229090540019,2.0999999999999996,11077.672861708015,0.41792917573433286,82274.43325599308,0.071814822874398,96968.64268605408,0.08257983369657229,96510.91256183031,-0.2550801183431973,110756.70282635443,0.48243477303487947,79658.8721259421,0.02520521269526771,98932.24304278467,0.16934055813802956,92801.77338553862,-0.05840562838250951,102466.68512151316,0.2454181837196121,89579.28888088766,-0.18366084032896102,107661.73421388428,single
29,2025-12-17T20:12:00.730016,,42762.913888011695,,,1.0,0.6428721754821819,0.0021977981086820364,0.7230479717254639,bullish,1,34.94172570124829,193,-4.71840423196297,299591.57088855654,-6.122478048475395,359191.85060581897,5.1,-114653.055754987,3.5653979280560932,-50637.30187308638,2.1,10966.752628653026,2.0999999999999996,11000.229090540019,2.0999999999999996,11077.672861708015,0.41792917573433286,82274.43325599308,0.071814822874398,96968.64268605408,0.08257983369657229,96510.91256183031,-0.3771717387993482,115977.69627836862,0.48243477303487947,79658.8721259421,0.02520521269526771,98932.24304278467,0.16934055813802956,92801.77338553862,-0.05840562838250951,102466.68512151316,0.2454181837196121,89579.28888088766,-0.18366084032896102,107661.73421388428,single
30,2025-12-17T20:12:00.730102,,42762.913888011695,,,1.0,0.6155315892961127,0.0021977981086820364,0.7230479717254639,bullish,1,35.05574049955912,194,-4.71840423196297,299591.57088855654,-6.0084632501645645,354316.2456036939,5.1,-114653.055754987,3.5653979280560932,-50637.30187308638,2.1,10966.752628653026,2.0999999999999996,11000.229090540019,2.0999999999999996,11077.672861708015,0.41792917573433286,82274.43325599308,0.071814822874398,96968.64268605408,0.08257983369657229,96510.91256183031,-0.3771717387993482,115977.69627836862,0.48243477303487947,79658.8721259421,-0.08880958561556349,103807.84804490977,0.16934055813802956,92801.77338553862,-0.05840562838250951,102466.68512151316,0.2454181837196121,89579.28888088766,-0.18366084032896102,107661.73421388428,single
31,2025-12-17T20:12:00.730195,,42762.913888011695,,,1.0,0.6367354802016564,0.0021977981086820364,0.7230479717254639,bullish,0,35.05574049955912,194,-4.71840423196297,299591.57088855654,-6.0084632501645645,354316.2456036939,5.1,-114653.055754987,3.5653979280560932,-50637.30187308638,2.1,10966.752628653026,2.0999999999999996,11000.229090540019,2.0999999999999996,11077.672861708015,0.41792917573433286,82274.43325599308,0.071814822874398,96968.64268605408,0.08257983369657229,96510.91256183031,-0.3771717387993482,115977.69627836862,0.48243477303487947,79658.8721259421,-0.08880958561556349,103807.84804490977,0.16934055813802956,92801.77338553862,-0.05840562838250951,102466.68512151316,0.2454181837196121,89579.28888088766,-0.18366084032896102,107661.73421388428,single
