step,mid_price,spread_bps,trade_count,total_volume,sentiment,epistemic_uncertainty,aleatoric_uncertainty,regime,retail_sentiment,institutional_sentiment,divergence,asri_alert_level,is_high_divergence,macro_weight,micro_weight,source
0,42001.911081107995,16.048799060740702,2,0.18919998806403804,0.22750965571403503,0.39919028619925184,0.2716038231416182,neutral,0.2516699731349945,0.0,0.2516699731349945,elevated,False,0.096,0.904,multi_scale
1,42003.30767205532,15.383274507953919,6,0.5528262679263031,0.22750965571403503,0.39919028619925184,0.2716038231416182,neutral,0.2516699731349945,0.0,0.2516699731349945,elevated,False,0.096,0.904,multi_scale
2,42002.376010311564,14.939992374053595,8,0.7266353233768064,0.22750965571403503,0.39919028619925184,0.2716038231416182,neutral,0.2516699731349945,0.0,0.2516699731349945,elevated,False,0.096,0.904,multi_scale
3,41998.95410483688,13.31169024821024,9,0.8170816047110165,0.22750965571403503,0.39919028619925184,0.2716038231416182,neutral,0.2516699731349945,0.0,0.2516699731349945,elevated,False,0.096,0.904,multi_scale
4,41998.95410483688,13.31169024821024,11,0.9208815572058732,0.22750965571403503,0.39919028619925184,0.2716038231416182,neutral,0.2516699731349945,0.0,0.2516699731349945,elevated,False,0.096,0.904,multi_scale
5,41998.95410483688,13.31169024821024,12,0.9519508131601211,0.22750965571403503,0.39919028619925184,0.2716038231416182,neutral,0.2516699731349945,0.0,0.2516699731349945,elevated,False,0.096,0.904,multi_scale
6,41998.95410483688,13.31169024821024,13,1.0034544962313194,0.22750965571403503,0.39919028619925184,0.2716038231416182,neutral,0.2516699731349945,0.0,0.2516699731349945,elevated,False,0.096,0.904,multi_scale
7,41999.14147740819,13.400857718044659,18,1.4718174141165397,0.22750965571403503,0.39919028619925184,0.2716038231416182,neutral,0.2516699731349945,0.0,0.2516699731349945,elevated,False,0.096,0.904,multi_scale
8,42001.82856360291,12.120491243699165,21,1.9571705331447018,0.22750965571403503,0.39919028619925184,0.2716038231416182,neutral,0.2516699731349945,0.0,0.2516699731349945,elevated,False,0.096,0.904,multi_scale
9,42010.45997269415,9.46304509587219,23,2.0993749664349695,0.22750965571403503,0.39919028619925184,0.2716038231416182,neutral,0.2516699731349945,0.0,0.2516699731349945,elevated,False,0.096,0.904,multi_scale
10,42017.76155854185,5.985924783629654,24,2.1309349354706812,0.22750965571403503,0.39919028619925184,0.2716038231416182,neutral,0.2516699731349945,0.0,0.2516699731349945,elevated,False,0.096,0.904,multi_scale
