step,sentiment,uncertainty,mid_price,bid,ask,spread,spread_bps,inventory
0,0.13258345906505137,0.16696235042374202,100.01325834590651,100.01275222468381,100.01391918703423,0.0011669623504246829,0.11668076510302457,1.0
1,0.0951679380940551,0.1712865604341098,100.02277640148536,100.02214649266857,100.023317779229,0.0011712865604351919,0.11710198442539914,2.0
2,-0.014972642536367986,0.21786696493326474,100.0212787962088,100.02046074538296,100.0216786123479,0.0012178669649358653,0.12176078726380243,2.0
3,0.07822870476310972,0.2160812907907408,100.02910333129779,100.02834285688452,100.0295589381753,0.0012160812907779928,0.12157274735836775,2.0
4,0.20698189602566985,0.2187625984227248,100.04980754476306,100.04912429436055,100.05034305695898,0.0012187625984267925,0.1218155864899099,2.0
5,0.03754604995461577,0.21276951778551947,100.05356401983508,100.05278040242862,100.05399317194642,0.001212769517792367,0.12121202574572376,2.0
6,-0.029504831765291277,0.1680114375569227,100.05061195626115,100.04981071955189,100.05097873098944,0.0011680114375565154,0.1167420583161582,2.0
7,-0.16284810851956563,0.17247261163482477,100.03431890334785,100.03343719956848,100.03460967218012,0.001172472611642661,0.11720703699452306,2.0
8,-0.11318901511049294,0.25797807888638535,100.02299611731394,100.0220959336246,100.02335391170348,0.0012579780788826156,0.12576888592770918,1.0
9,-0.009070189457636879,0.23820844038089567,100.02208888978903,100.02136417017627,100.02260237861665,0.0012382084403839144,0.12379349942873664,1.0
10,-0.04725674138705509,0.1804271936289423,100.01736217180138,100.01664406663326,100.01782449382688,0.0011804271936171062,0.11802222813969719,1.0
11,-0.16234151241760564,0.17328360507209606,100.0011252019584,100.00034332383838,100.00151660744346,0.0011732836050839524,0.11732704034223958,1.0
12,-0.339352963250711,0.2361066168227826,99.96718952379271,99.96626173226264,99.96749783887947,0.001236106616829602,0.12365123224109469,1.0
13,-0.27288876039441606,0.21509250165999072,99.93990960136345,99.93903626256935,99.94025135507101,0.001215092501666959,0.1215823094611226,1.0
14,-0.24194466655221608,0.17999937813650735,99.91572967325969,99.91489692629258,99.91607692567072,0.0011799993781380635,0.11809946061514529,0.0
15,-0.13701455857205813,0.2606746066926694,99.9020397636641,99.90132306097338,99.90258373558008,0.0012606746066978758,0.12619107774778413,0.0
16,-0.037626638888186154,0.234576657531524,99.89828078568972,99.89764027087591,99.89887484753345,0.0012345766575379002,0.12358337379062798,-1.0
17,0.005557230196308452,0.1581682514406673,99.89883594343226,99.89836007741033,99.89951824566177,0.0011581682514361091,0.11593410879100956,-1.0
18,0.049111741070439446,0.23989168529770738,99.90374214919635,99.90325264997341,99.9044925416587,0.0012398916852873754,0.12410863283136281,-1.0
